poly_id,n,rmse_base,rmse_seas,mae_base,mae_seas,slope,intercept,pearson_r,r2_in,delta_rmse
P128,127,0.2763797563655702,0.2974968809561596,0.22964763633545457,0.23144710672609523,0.28169850043858713,0.2115555787739194,0.14093042861739336,0.019861385710282287,-0.021117124590589398
P129,128,0.16305737181918536,0.18096384393594633,0.1351427411915186,0.1434757221239572,0.8488251249658424,-0.10964289254534017,0.6494299474094949,0.4217592565923003,-0.01790647211676097
P130,128,0.1560791042247161,0.14407174126375102,0.12359374924043645,0.11263064309529466,1.0318962193600345,-0.17866505776195368,0.8096150826215449,0.6554765820082914,0.012007362960965079
P131,134,0.16399812809139946,0.13317109682737877,0.13228590627860873,0.08647461678288734,0.7144173159439754,-0.012061815563727527,0.6741089045565593,0.4544228152024443,0.0308270312640207
P132,133,0.22897099241823937,0.26692478369891287,0.19867239710127696,0.2263257657197596,0.8219194136393364,0.020786544551843027,0.5918700366107261,0.35031014023758245,-0.0379537912806735
P133,132,0.18973572193945684,0.21322023631044726,0.16117974409294683,0.17661479343597497,1.0507807273691883,-0.0909497745442459,0.7205955522629721,0.5192579499411774,-0.023484514370990417
P134,130,0.17838652697904725,0.1717743770027951,0.14100263877027738,0.1311839968351526,0.8755359472728665,-0.11734572905837778,0.7476001791954936,0.5589060279331343,0.006612149976252146
P135,127,0.15673484345875321,0.16359736729064353,0.12348382827940725,0.1267450510938191,0.9865223069359976,-0.18169272842188697,0.8211198859409193,0.6742378670876285,-0.006862523831890316
P136,128,0.26662492983047875,0.2558144867904962,0.20723091912017585,0.18995499616694017,-0.0957558518114316,0.3522714779611797,-0.051819792239865645,0.002685290867782908,0.010810443039982576
P137,126,0.14026896050582804,0.12488607596515687,0.10306787004977842,0.09329629287116174,0.22800362820406336,0.4891945653010944,0.13247976207940337,0.017550887360615386,0.015382884540671174
P138,129,0.17271169413535464,0.1631695171613074,0.13275693340116523,0.11851996647091999,1.0816263839570324,-0.25431727018887934,0.7748659053307296,0.6004171712440112,0.009542176974047245
P139,132,0.21502471334758552,0.21341606983042305,0.18907760186440145,0.17668712949475834,0.9140449614399323,0.01630444555797339,0.6680792123495297,0.44632983397356796,0.0016086435171624724
P140,128,0.1667650042126834,0.17992729370248273,0.13349244302213367,0.14187184864557076,0.7820456471971402,-0.06713993210715452,0.7616632144233769,0.5801308522057504,-0.013162289489799334
P141,125,0.21509238018727697,0.2540652509187672,0.18816793553253966,0.22503406973998233,0.8659370547984535,0.03653729298659733,0.5472635388842276,0.2994973809920879,-0.03897287073149022
P142,132,0.14592495146364934,0.1645865081582626,0.11418098292136583,0.12714874968681655,0.8460243247768039,-0.10617382319480527,0.8042594331393015,0.6468332357935501,-0.01866155669461325
P143,127,0.22427053787051482,0.23832065092622767,0.194412372821524,0.19491889235602314,1.015991587423735,-0.0967148402114284,0.6507477960679201,0.42347269408725485,-0.014050113055712854
P144,124,0.18030074138711943,0.22470021845472624,0.1308156952208759,0.15891668450568405,0.894773315295005,-0.1650321355341287,0.7495522384123465,0.5618285581089588,-0.0443994770676068
P145,127,0.15151971432396924,0.20881864972597738,0.10830794263219298,0.13823312359976583,0.985626843108507,-0.18738049258509765,0.7274597459304304,0.5291976819491666,-0.057298935402008144
P146,125,0.26746378361043605,0.26526310661405905,0.22440325070573655,0.18840767571906952,-0.3759953828301067,0.5278179340719273,-0.2422571823410642,0.05868854239583132,0.0022006769963769934
P147,125,0.232038157841718,0.2513341441224889,0.208223048667549,0.2122958381737592,0.9558451329457622,-0.04192780174773865,0.6137515181626036,0.3766909260469007,-0.019295986280770894
P148,129,0.1846027974002333,0.1921915492179084,0.13817119359455524,0.1425472440997665,0.8835115965488819,-0.08501195877288063,0.8171596748731528,0.6677499342387969,-0.007588751817675099
P149,132,0.1956379885560279,0.21546652875933733,0.15817387736560695,0.1654022871187266,0.558772294542733,0.2659682304639865,0.41081100770268575,0.16876568404969627,-0.01982854020330943
P150,127,0.2575977368267435,0.25680975836998376,0.2103706969823316,0.189873926050981,-0.06621102592508313,0.3897043253108688,-0.05008757111877533,0.0025087647805781543,0.0007879784567597081
P151,127,0.17391128581733817,0.20751688743565083,0.11236724646649751,0.12992055311578424,0.7764149546746745,-0.09370036979912637,0.7061962753734835,0.4987131793513806,-0.033605601618312664
P152,132,0.19913657421445466,0.218497044259409,0.1638617739004608,0.17407871609716394,0.7781443190512275,0.07986522668602591,0.498271082696439,0.24827407185148176,-0.019360470044954337
P153,131,0.16408058627706112,0.18117214794896078,0.12324988672234394,0.1416428674742154,1.1362863557176173,-0.2148005815128054,0.7991232738489707,0.6385980068070969,-0.017091561671899652
P154,129,0.2799284880540673,0.2605679971847377,0.2415148740019841,0.2058064560024889,-0.22111857686307393,0.5157464686838162,-0.13171378085805382,0.0173485200679232,0.01936049086932956
